0.000	-0.976	1.000
0.049	0.876	0.999
0.098	-0.939	0.995
0.147	-0.954	0.989
0.195	0.105	0.981
0.243	-0.833	0.970
0.290	-0.093	0.957
0.337	0.898	0.942
0.383	-0.095	0.924
0.428	0.167	0.904
0.471	0.674	0.882
0.514	0.885	0.858
0.556	-0.914	0.831
0.596	-0.351	0.803
0.634	-0.897	0.773
0.672	-0.580	0.741
0.707	-0.029	0.707
0.741	0.577	0.672
0.773	0.705	0.634
0.803	-0.246	0.596
0.831	0.174	0.556
0.858	0.650	0.514
0.882	-0.950	0.471
0.904	0.466	0.428
0.924	0.209	0.383
0.942	0.618	0.337
0.957	-0.759	0.290
0.970	-0.972	0.243
0.981	0.228	0.195
0.989	0.591	0.147
0.995	-0.080	0.098
0.999	-0.916	0.049
1.000	0.109	0.000
0.999	0.814	-0.049
0.995	-0.005	-0.098
0.989	-0.435	-0.147
0.981	-0.608	-0.195
0.970	-0.820	-0.243
0.957	-0.889	-0.290
0.942	-0.713	-0.337
0.924	-0.810	-0.383
0.904	0.191	-0.428
0.882	0.485	-0.471
0.858	0.506	-0.514
0.831	-0.954	-0.556
0.803	-0.436	-0.596
0.773	-0.629	-0.634
0.741	-0.775	-0.672
0.707	-0.333	-0.707
0.672	0.715	-0.741
0.634	0.739	-0.773
0.596	-0.542	-0.803
0.556	0.818	-0.831
0.514	0.283	-0.858
0.471	0.244	-0.882
0.428	0.547	-0.904
0.383	-0.442	-0.924
0.337	-0.679	-0.942
0.290	0.528	-0.957
0.243	0.088	-0.970
0.195	0.622	-0.981
0.147	-0.593	-0.989
0.098	-0.805	-0.995
0.049	-0.136	-0.999
0.000	0.075	-1.000
-0.049	-0.330	-0.999
-0.098	-0.963	-0.995
-0.147	0.423	-0.989
-0.195	0.253	-0.981
-0.243	0.671	-0.970
-0.290	-0.064	-0.957
-0.337	0.585	-0.942
-0.383	0.216	-0.924
-0.428	0.193	-0.904
-0.471	0.409	-0.882
-0.514	0.003	-0.858
-0.556	-0.268	-0.831
-0.596	-0.094	-0.803
-0.634	0.328	-0.773
-0.672	-0.336	-0.741
-0.707	-0.186	-0.707
-0.741	-0.257	-0.672
-0.773	-0.447	-0.634
-0.803	0.249	-0.596
-0.831	0.746	-0.556
-0.858	-0.887	-0.514
-0.882	0.394	-0.471
-0.904	-0.255	-0.428
-0.924	-0.437	-0.383
-0.942	-0.943	-0.337
-0.957	-0.484	-0.290
-0.970	0.182	-0.243
-0.981	-0.312	-0.195
-0.989	0.230	-0.147
-0.995	0.178	-0.098
-0.999	0.708	-0.049
-1.000	0.824	0.000
-0.999	0.927	0.049
-0.995	0.296	0.098
-0.989	0.061	0.147
-0.981	0.203	0.195
-0.970	0.422	0.243
-0.957	0.271	0.290
-0.942	-0.805	0.337
-0.924	-0.705	0.383
-0.904	-0.986	0.428
-0.882	0.546	0.471
-0.858	-0.880	0.514
-0.831	-0.417	0.556
-0.803	-0.371	0.596
-0.773	-0.362	0.634
-0.741	-0.478	0.672
-0.707	-0.555	0.707
-0.672	-0.414	0.741
-0.634	0.679	0.773
-0.596	-0.330	0.803
-0.556	-0.536	0.831
-0.514	0.651	0.858
-0.471	-0.118	0.882
-0.428	-0.409	0.904
-0.383	-0.779	0.924
-0.337	-0.141	0.942
-0.290	0.117	0.957
-0.243	-0.442	0.970
-0.195	-0.280	0.981
-0.147	0.209	0.989
-0.098	-0.442	0.995
-0.049	0.561	0.999
