waveform	Square
t0	12/31/1903  17:00:00.000000
delta t	0.001000

time	Square
12/31/1903  17:00:00.000000	1.000000E+0
12/31/1903  17:00:00.001000	1.000000E+0
12/31/1903  17:00:00.002000	1.000000E+0
12/31/1903  17:00:00.003000	1.000000E+0
12/31/1903  17:00:00.004000	1.000000E+0
12/31/1903  17:00:00.005000	1.000000E+0
12/31/1903  17:00:00.006000	1.000000E+0
12/31/1903  17:00:00.007000	1.000000E+0
12/31/1903  17:00:00.008000	1.000000E+0
12/31/1903  17:00:00.009000	1.000000E+0
12/31/1903  17:00:00.010000	1.000000E+0
12/31/1903  17:00:00.011000	1.000000E+0
12/31/1903  17:00:00.012000	1.000000E+0
12/31/1903  17:00:00.013000	1.000000E+0
12/31/1903  17:00:00.014000	1.000000E+0
12/31/1903  17:00:00.015000	1.000000E+0
12/31/1903  17:00:00.016000	1.000000E+0
12/31/1903  17:00:00.017000	-1.000000E+0
12/31/1903  17:00:00.018000	-1.000000E+0
12/31/1903  17:00:00.019000	-1.000000E+0
12/31/1903  17:00:00.020000	-1.000000E+0
12/31/1903  17:00:00.021000	-1.000000E+0
12/31/1903  17:00:00.022000	-1.000000E+0
12/31/1903  17:00:00.023000	-1.000000E+0
12/31/1903  17:00:00.024000	-1.000000E+0
12/31/1903  17:00:00.025000	-1.000000E+0
12/31/1903  17:00:00.026000	-1.000000E+0
12/31/1903  17:00:00.027000	-1.000000E+0
12/31/1903  17:00:00.028000	-1.000000E+0
12/31/1903  17:00:00.029000	-1.000000E+0
12/31/1903  17:00:00.030000	-1.000000E+0
12/31/1903  17:00:00.031000	-1.000000E+0
12/31/1903  17:00:00.032000	-1.000000E+0
12/31/1903  17:00:00.033000	-1.000000E+0
12/31/1903  17:00:00.034000	1.000000E+0
12/31/1903  17:00:00.035000	1.000000E+0
12/31/1903  17:00:00.036000	1.000000E+0
12/31/1903  17:00:00.037000	1.000000E+0
12/31/1903  17:00:00.038000	1.000000E+0
12/31/1903  17:00:00.039000	1.000000E+0
12/31/1903  17:00:00.040000	1.000000E+0
12/31/1903  17:00:00.041000	1.000000E+0
12/31/1903  17:00:00.042000	1.000000E+0
12/31/1903  17:00:00.043000	1.000000E+0
12/31/1903  17:00:00.044000	1.000000E+0
12/31/1903  17:00:00.045000	1.000000E+0
12/31/1903  17:00:00.046000	1.000000E+0
12/31/1903  17:00:00.047000	1.000000E+0
12/31/1903  17:00:00.048000	1.000000E+0
12/31/1903  17:00:00.049000	1.000000E+0
12/31/1903  17:00:00.050000	-1.000000E+0
12/31/1903  17:00:00.051000	-1.000000E+0
12/31/1903  17:00:00.052000	-1.000000E+0
12/31/1903  17:00:00.053000	-1.000000E+0
12/31/1903  17:00:00.054000	-1.000000E+0
12/31/1903  17:00:00.055000	-1.000000E+0
12/31/1903  17:00:00.056000	-1.000000E+0
12/31/1903  17:00:00.057000	-1.000000E+0
12/31/1903  17:00:00.058000	-1.000000E+0
12/31/1903  17:00:00.059000	-1.000000E+0
12/31/1903  17:00:00.060000	-1.000000E+0
12/31/1903  17:00:00.061000	-1.000000E+0
12/31/1903  17:00:00.062000	-1.000000E+0
12/31/1903  17:00:00.063000	-1.000000E+0
12/31/1903  17:00:00.064000	-1.000000E+0
12/31/1903  17:00:00.065000	-1.000000E+0
12/31/1903  17:00:00.066000	-1.000000E+0
12/31/1903  17:00:00.067000	1.000000E+0
12/31/1903  17:00:00.068000	1.000000E+0
12/31/1903  17:00:00.069000	1.000000E+0
12/31/1903  17:00:00.070000	1.000000E+0
12/31/1903  17:00:00.071000	1.000000E+0
12/31/1903  17:00:00.072000	1.000000E+0
12/31/1903  17:00:00.073000	1.000000E+0
12/31/1903  17:00:00.074000	1.000000E+0
12/31/1903  17:00:00.075000	1.000000E+0
12/31/1903  17:00:00.076000	1.000000E+0
12/31/1903  17:00:00.077000	1.000000E+0
12/31/1903  17:00:00.078000	1.000000E+0
12/31/1903  17:00:00.079000	1.000000E+0
12/31/1903  17:00:00.080000	1.000000E+0
12/31/1903  17:00:00.081000	1.000000E+0
12/31/1903  17:00:00.082000	1.000000E+0
12/31/1903  17:00:00.083000	1.000000E+0
12/31/1903  17:00:00.084000	-1.000000E+0
12/31/1903  17:00:00.085000	-1.000000E+0
12/31/1903  17:00:00.086000	-1.000000E+0
12/31/1903  17:00:00.087000	-1.000000E+0
12/31/1903  17:00:00.088000	-1.000000E+0
12/31/1903  17:00:00.089000	-1.000000E+0
12/31/1903  17:00:00.090000	-1.000000E+0
12/31/1903  17:00:00.091000	-1.000000E+0
12/31/1903  17:00:00.092000	-1.000000E+0
12/31/1903  17:00:00.093000	-1.000000E+0
12/31/1903  17:00:00.094000	-1.000000E+0
12/31/1903  17:00:00.095000	-1.000000E+0
12/31/1903  17:00:00.096000	-1.000000E+0
12/31/1903  17:00:00.097000	-1.000000E+0
12/31/1903  17:00:00.098000	-1.000000E+0
12/31/1903  17:00:00.099000	-1.000000E+0
